table,outcome,mechanism,estimate,se,variant
synthetic_pareto,pareto_efficient,EADA,0.026,,observed_truth_0.29
synthetic_pareto,pareto_efficient,EADA,0.028,,target_truth_0.30
synthetic_pareto,pareto_efficient,EADA,0.118,,target_truth_0.50
synthetic_pareto,pareto_efficient,EADA,0.332,,target_truth_0.70
synthetic_pareto,pareto_efficient,EADA,0.722,,target_truth_0.90
envy_both,reported_envy,DA,0.00,,baseline
envy_both,reported_envy,EADA,0.10,,baseline
envy_both,reported_envy,RM,0.29,,baseline
envy_both,reported_envy,sDA,0.00,,baseline
envy_both,reported_envy,sDAL,0.00,,baseline
envy_both,true_envy,DA,0.14,,baseline
envy_both,true_envy,EADA,0.29,,baseline
envy_both,true_envy,RM,0.51,,baseline
envy_both,true_envy,sDA,0.20,,baseline
envy_both,true_envy,sDAL,0.20,,baseline
mechanism_summary,pareto_efficient,DA,0.00,,baseline
mechanism_summary,pareto_efficient,EADA,0.03,,baseline
mechanism_summary,pareto_efficient,RM,0.08,,baseline
mechanism_summary,pareto_efficient,sDA,0.00,,baseline
mechanism_summary,pareto_efficient,sDAL,0.00,,baseline
mechanism_summary,average_rank,DA,2.84,,baseline
mechanism_summary,average_rank,EADA,2.74,,baseline
mechanism_summary,average_rank,RM,2.35,,baseline
mechanism_summary,average_rank,sDA,2.78,,baseline
mechanism_summary,average_rank,sDAL,2.82,,baseline
mechanism_summary,maximum_rank,DA,6.80,,baseline
mechanism_summary,maximum_rank,EADA,6.94,,baseline
mechanism_summary,maximum_rank,RM,5.86,,baseline
mechanism_summary,maximum_rank,sDA,6.55,,baseline
mechanism_summary,maximum_rank,sDAL,6.75,,baseline
mechanism_summary,true_envy,DA,0.14,,baseline
mechanism_summary,true_envy,EADA,0.29,,baseline
mechanism_summary,true_envy,RM,0.51,,baseline
mechanism_summary,true_envy,sDA,0.20,,baseline
mechanism_summary,true_envy,sDAL,0.20,,baseline
ability_sorting,between_school_variance_share,DA,0.320,0.026,baseline
ability_sorting,between_school_variance_share,EADA,0.359,0.026,baseline
ability_sorting,between_school_variance_share,RM,0.368,0.023,baseline
ability_sorting,between_school_variance_share,sDA,0.339,0.029,baseline
ability_sorting,between_school_variance_share,sDAL,0.395,0.023,baseline
ability_sorting,dispersion_school_mean_raven,DA,1.456,0.149,baseline
ability_sorting,dispersion_school_mean_raven,EADA,1.939,0.222,baseline
ability_sorting,dispersion_school_mean_raven,RM,1.568,0.158,baseline
ability_sorting,dispersion_school_mean_raven,sDA,1.307,0.155,baseline
ability_sorting,dispersion_school_mean_raven,sDAL,1.631,0.232,baseline
