model,term,n,target_b,target_se
main_c1,_cons,540,-0.138543206,0.389634109
main_c1,correct_c,540,-0.104933502,0.037499850
main_c1,2.mechanism_id,540,0.106117070,0.309023629
main_c1,3.mechanism_id,540,-0.118482720,0.319121980
main_c1,4.mechanism_id,540,0.045313769,0.313024986
main_c1,5.mechanism_id,540,-0.435150736,0.337619137
main_c2,_cons,540,0.367448351,0.745622448
main_c2,correct_c,540,-0.164486270,0.084174520
main_c2,2.mechanism_id,540,0.756707054,0.984978612
main_c2,3.mechanism_id,540,-2.796849058,1.286575620
main_c2,4.mechanism_id,540,-1.098524820,1.220994936
main_c2,5.mechanism_id,540,-1.390080174,1.198864255
main_c2,2.mechanism_id#c.correct_c,540,-0.082832928,0.112284254
main_c2,3.mechanism_id#c.correct_c,540,0.295893125,0.136188736
main_c2,4.mechanism_id#c.correct_c,540,0.129786841,0.132947676
main_c2,5.mechanism_id#c.correct_c,540,0.108639689,0.129110692
main_c3,_cons,540,3.474079046,0.748455204
main_c3,correct_c,540,-0.020962337,0.023466881
main_c3,2.mechanism_id,540,-0.085936570,0.155909022
main_c3,3.mechanism_id,540,-0.347204575,0.175118369
main_c3,4.mechanism_id,540,-0.091753799,0.126229306
main_c3,5.mechanism_id,540,0.137561490,0.158397143
main_c3,mean_correct_c_others,540,-0.052623132,0.080277599
main_c4,_cons,540,3.958556560,0.730208182
main_c4,correct_c,540,-0.072949627,0.032951009
main_c4,2.mechanism_id,540,-1.332476129,0.496107591
main_c4,3.mechanism_id,540,0.043310438,0.507948809
main_c4,4.mechanism_id,540,-0.305790942,0.690004524
main_c4,5.mechanism_id,540,-0.548390383,0.674154399
main_c4,2.mechanism_id#c.correct_c,540,0.144015201,0.054409337
main_c4,3.mechanism_id#c.correct_c,540,-0.040800445,0.049346870
main_c4,4.mechanism_id#c.correct_c,540,0.025521651,0.068197004
main_c4,5.mechanism_id#c.correct_c,540,0.076179090,0.063451575
main_c4,mean_correct_c_others,540,-0.055482352,0.066860238
app_cde1,_cons,432,0.012231005,0.403093523
app_cde1,correct_cde,432,-0.134748785,0.043616485
app_cde1,2.mechanism_id,432,0.117724282,0.310407779
app_cde1,3.mechanism_id,432,-0.078404335,0.321350255
app_cde1,5.mechanism_id,432,-0.373244267,0.340133698
app_cde2,_cons,432,-0.177314205,0.676060437
app_cde2,correct_cde,432,-0.110241591,0.082281491
app_cde2,2.mechanism_id,432,1.838242254,0.990696879
app_cde2,3.mechanism_id,432,-1.900185242,1.153181175
app_cde2,5.mechanism_id,432,-0.349874044,1.322733105
app_cde2,2.mechanism_id#c.correct_cde,432,-0.228079970,0.122465664
app_cde2,3.mechanism_id#c.correct_cde,432,0.210120448,0.130466187
app_cde2,5.mechanism_id#c.correct_cde,432,-0.005302156,0.151976765
app_cde3,_cons,432,3.498305060,0.690569098
app_cde3,correct_cde,432,-0.069688298,0.027987712
app_cde3,2.mechanism_id,432,-0.078979331,0.155716740
app_cde3,3.mechanism_id,432,-0.325043918,0.178319400
app_cde3,5.mechanism_id,432,0.163672712,0.166468538
app_cde3,mean_correct_cde_others,432,-0.013753581,0.083199129
app_cde4,_cons,432,3.530563414,0.560657250
app_cde4,correct_cde,432,-0.055730927,0.031525115
app_cde4,2.mechanism_id,432,-0.794171557,0.405640334
app_cde4,3.mechanism_id,432,0.284849334,0.446396456
app_cde4,5.mechanism_id,432,1.722592345,0.956127749
app_cde4,2.mechanism_id#c.correct_cde,432,0.090324896,0.057455273
app_cde4,3.mechanism_id#c.correct_cde,432,-0.070473435,0.047998361
app_cde4,5.mechanism_id#c.correct_cde,432,-0.174149309,0.099685784
app_cde4,mean_correct_cde_others,432,-0.031703200,0.069220441
